PERDI,open,high,low,close,Adj Close,volume,upperband,middleband,lowerband,macd,macdsignal,macdhist,rsi,sma10,sma40
1.61542E+12,221.9199982,224.1499939,221.6900024,224.0350037,224.0350037,508919,223.4692862,215.0996552,206.7300241,4.057647174,2.773450728,1.284196446,66.22169769,217.8360001,209.2504517
1.61542E+12,224.0200043,226.3000031,222.8899994,225.0500031,225.0500031,1222772,225.0353784,215.7563705,206.4773627,4.338403831,3.086441348,1.251962483,67.35096845,219.0520004,209.4435768
1.61551E+12,215.8999939,216.8399963,207.6900024,208.6000061,208.6000061,3004696,225.2390227,215.6071205,205.9752183,3.196678904,3.10848886,0.088190045,42.53282762,218.6600006,209.2076771
1.61551E+12,208.3500061,210.4499969,207.75,208.7799988,208.7799988,1189463,225.3582203,215.5250008,205.6917813,2.280094074,2.942809902,-0.662715828,42.78127662,218.1230011,209.1133022
1.61551E+12,208.7799988,212.7599945,207.7599945,212,212,1369339,225.365282,215.5045006,205.6437192,1.792854272,2.712818776,-0.919964504,47.18070186,218.0570007,209.1403023
1.61551E+12,212.0399933,213.8000031,210.7400055,211.2100067,211.2100067,855100,225.3572114,215.5147507,205.67229,1.327662891,2.435787599,-1.108124708,46.2413245,217.5060013,209.1746773
1.61551E+12,211.2100067,211.7299957,208.6600037,209.2749939,209.2749939,761467,225.4839805,215.2990005,205.1140206,0.793706652,2.10737141,-1.313664758,43.93393493,216.5030014,209.1413021
1.61551E+12,209.2899933,211.5200043,209.1103058,210.3701019,210.3701019,794276,225.5316831,215.1560059,204.7803286,0.453678824,1.776632893,-1.322954069,45.58870451,215.3830109,209.4588047
1.61551E+12,210.4900055,211,209.1900024,210.5,210.5,974999,225.5688757,215.0747559,204.580636,0.192467365,1.459799787,-1.267332422,45.79307709,214.1740112,209.9713272
1.61577E+12,209.7599945,213.3500061,209.7599945,210.5782928,210.5782928,840712,225.5733968,214.9051704,204.2369441,-0.008133264,1.166213177,-1.174346441,45.92491334,213.0398407,210.2580372
1.61577E+12,210.6199951,215.6399994,210.5,214.5299988,214.5299988,653145,225.6097709,214.9626701,204.3155694,0.150029488,0.962976439,-0.812946951,52.23887399,212.0893402,210.5432873
1.61577E+12,214.5500031,216.9790039,213.8399963,216.8500061,216.8500061,425439,225.7935042,215.1606705,204.5278368,0.457308246,0.861842801,-0.404534554,55.52236446,211.2693405,210.9397873
1.61577E+12,216.75,217.6199951,215.1900024,216.7599945,216.7599945,356000,225.9554069,215.37267,204.7899331,0.68566181,0.826606602,-0.140944793,55.36333512,212.0853394,211.2710373
1.61577E+12,216.75,218.0800018,215.8399963,217.5299988,217.5299988,339850,226.148833,215.5416702,204.9345074,0.918182329,0.844921748,0.073260581,56.51087892,212.9603394,211.6015373
1.61577E+12,217.6000061,219.5,217.1000061,218.5850067,218.5850067,440823,226.4375631,215.8379204,205.2382777,1.174053086,0.910748015,0.263305071,58.10028855,213.61884,211.9475376
1.61577E+12,218.6000061,220.4799957,218.5500031,220.1799927,220.1799927,616254,226.7741822,216.01092,205.2476577,1.488377453,1.026273903,0.46210355,60.4534393,214.5158386,212.3560375
