PERDI,open,high,low,close,Adj Close,volume,upperband,middleband,lowerband,macd,macdsignal,macdhist,rsi,sma10,sma40
1.62E+12,124.5749969,124.6500015,123.9599991,124.1100006,124.1100006,674390,126.142055,123.8852505,121.6284459,1.47252909,1.774334722,-0.301805632,56.74561471,124.8270004,121.5750252
1.62E+12,123.9700012,124.6299973,123.1200027,124.2799988,124.2799988,553109,126.1806721,123.9277504,121.6748286,1.348438716,1.689155521,-0.340716805,57.75784839,124.8800003,121.7687752
1.62E+12,124.2300034,124.4749985,123.2300034,124.3799973,124.3799973,477284,126.223678,123.9705002,121.7173223,1.243827176,1.600089852,-0.356262675,58.37492556,124.893,121.9902752
1.62E+12,124.4100037,124.8000031,124.2649994,124.3600006,124.3600006,314248,126.2620296,124.0165001,121.7709705,1.146096726,1.509291227,-0.363194501,58.19186107,124.943,122.2067753
1.62E+12,124.3700027,124.6399994,124.2300034,124.6298981,124.6298981,245565,126.3099657,124.0959949,121.8820242,1.077996635,1.423032308,-0.345035673,60.01452422,124.87799,122.4290228
1.62E+12,124.6399994,125.0100021,124.6299973,124.6549988,124.6549988,321337,126.3347886,124.1869949,122.0392013,1.014359337,1.341297714,-0.326938377,60.18835535,124.7774895,122.6546478
1.62E+12,124.6500015,124.6699982,124.0199966,124.2799988,124.2799988,393420,126.2794601,124.2759949,122.2725296,0.923026875,1.257643546,-0.334616672,56.25370289,124.6054893,122.8168978
1.62E+12,124.2900009,124.5100021,123.7600021,124.1500015,124.1500015,704815,126.1132713,124.3797451,122.6462189,0.830581126,1.172231062,-0.341649936,54.91352991,124.4814896,123.0231478
1.62E+12,124.1999969,124.8899002,123.6920013,124.0999985,124.0999985,325108,126.0090386,124.4502449,122.8914512,0.744697961,1.086724442,-0.342026481,54.3769045,124.3554893,123.1868977
1.62E+12,124.1299973,124.7399979,124.0199966,124.3000031,124.3000031,198923,125.9109647,124.520245,123.1295252,0.684878776,1.006355309,-0.321476533,56.21978785,124.3244896,123.3336477
1.62E+12,124.2900009,124.2900009,123.5599976,123.7799988,123.7799988,185128,125.8143869,124.5592449,123.304103,0.588725184,0.922829284,-0.3341041,50.50737537,124.2914894,123.4661476
1.62E+12,123.7900009,124.1200027,123.7300034,124.0400009,124.0400009,141554,125.7974638,124.573745,123.3500262,0.527422966,0.84374802,-0.316325054,53.07476342,124.2674896,123.5840227
